CodeBERT_Prediction,CodeT5_Prediction,MulaRec_Prediction,Correct_Model_Names,Correct_API_Sequence,CodeBERT_Achievement_Rate,CodeT5_Achievement_Rate,MulaRec_Achievement_Rate,CodeBERT_Head_API_Rate,CodeT5_Head_API_Rate,MulaRec_Head_API_Rate
"['point.getx', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.drawstring']","['color.<init>', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolorgraphics']","['rectangle.setsize', 'point.getx', 'point.gety', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.drawrect', 'graphics.drawstring', 'icon.painticon']",MulaRec,"['rectangle.setsize', 'point.getx', 'point.gety', 'graphics.setcolor', 'graphics.fillrect', 'graphics.setcolor', 'graphics.drawrect', 'graphics.drawstring', 'icon.painticon']",0.7470539724216596,0.0,0.0,0.6,0.9583333333333334,0.3333333333333333
"['output.flush', 'vector.elements', 'enumeration.hasmoreelements', 'enumeration.nextelement']","['output.flush', 'hashtable.elements', 'enumeration.hasmoreelements', 'enumeration.nextelement', 'printwriter.close']","['outputstream.flush', 'vector.elements', 'enumeration.nextelement', 'double.cast', 'double.doublevalue', 'outputstream.close']",CodeBERT,"['output.flush', 'vector.elements', 'enumeration.hasmoreelements', 'enumeration.nextelement']",0.974646100140846,0.8918511303671093,0.9976047502908385,0.75,0.6,0.5
['value.<init>'],"['dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.getid', 'dimension.put', 'value.<init>', 'dimension.']",['dimension.getid'],MulaRec,['dimension.getid'],0.8333333333333334,0.0,1.0,0.0,0.0,0.0
['configuration.getschematype'],"['configuration.gettypehierarchy', 'configuration.gettypehierarchy', 'configuration.gettypehierarchy', 'configuration.gettypehierarchy']",['configuration.gettypehierarchy'],MulaRec,['configuration.gettypehierarchy'],1.0,1.0,1.0,0.0,0.0,0.0
['dimension.<init>'],"['bufferedimage.<init>', 'bufferedimage.creategraphics', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrect', 'graphics2d.setcolor', 'graphics2d.fillrectgraphics2d']",['color.<init>'],MulaRec,['color.<init>'],0.5932203389830508,0.0,0.9478672985781991,1.0,0.5625,1.0
"['string.split', 'integer.parseint', 'string.equals']","['string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.startswith', 'string.substring', 'string.']","['system.exit', 'string.startswith', 'system.exit', 'string.substring', 'stringtokenizer.<init>', 'stringtokenizer.nexttoken', 'long.parselong', 'stringtokenizer.hasmoretokens', 'system.exit', 'stringtokenizer.nexttoken', 'long.parselong', 'string.equals']",MulaRec,"['system.exit', 'string.startswith', 'system.exit', 'string.substring', 'stringtokenizer.<init>', 'stringtokenizer.nexttoken', 'long.parselong', 'stringtokenizer.hasmoretokens', 'system.exit', 'stringtokenizer.nexttoken', 'long.parselong', 'string.equals']",0.7706968155018732,0.0,0.9855640522876317,1.0,0.9696969696969697,1.0
"['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobjectlinked']","['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobject', 'linkedlist.removefirst', 'contenthandler.']","['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobject', 'linkedlist.removefirst', 'contenthandler.primitive', 'contenthandler.endobjectentry', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'linkedlist.removefirst', 'contenthandler.endobjectentry', 'contenthandler.primitive', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endarray', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray']",MulaRec,"['contenthandler.startjson', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.primitive', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'contenthandler.endjson', 'string.instance', 'string.cast', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobjectentry', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endobject', 'linkedlist.removefirst', 'contenthandler.primitive', 'contenthandler.endobjectentry', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray', 'linkedlist.removefirst', 'integer.<init>', 'linkedlist.addfirst', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'linkedlist.removefirst', 'contenthandler.endobjectentry', 'contenthandler.primitive', 'linkedlist.size', 'linkedlist.removefirst', 'contenthandler.endarray', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startobject', 'integer.<init>', 'linkedlist.addfirst', 'contenthandler.startarray']",0.0,0.0,0.0,0.3684210526315789,0.3333333333333333,0.30434782608695654
['toxmlsaxhandler.reset'],['toxmlsaxhandler.escapingnotneeded'],['toxmlsaxhandler.processinginstruction'],MulaRec,['toxmlsaxhandler.processinginstruction'],0.0,0.0,0.0,0.0,0.0,0.0
"['jlabel.settext', 'defaultcomboboxmodel.<init>', 'jcombobox.setmodel', 'actionlistener.<init>', 'jcombobox.addactionlistener', 'jlabel.settext']","['jbutton.<init>', 'jlabel.settext', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'grouplayout.<init>', 'grouplayout.sethorizontalgroup', 'grouplayout.createparallelgroup', 'grouplayout.createsequentialgroup', 'grouplayout.createparallelgroup', 'grouplayout.createsequentialgroupgrouplay']","['jbutton.<init>', 'jlabel.settext', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener']",MulaRec,"['jbutton.<init>', 'jlabel.settext', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener', 'jbutton.settext', 'actionlistener.<init>', 'jbutton.addactionlistener']",0.0,0.0,0.9447827697895188,0.5,0.7142857142857143,1.0
"['function.instance', 'function.cast', 'context.getelements']","['function.instance', 'context.getelementsbytagname', 'nodelist.getlength', 'nodelist.item', 'context.reportruntimeerror0', 'context.reportruntimeerror1', 'context.reportruntimeerror2', 'context.reportruntimeerror1', 'context.reportruntimeerror2', 'context.reportruntimeerror1', 'context.reportruntimeerror2', 'context.reportruntimeerror2', 'context.reportruntimeerror1', 'context.reportruntimeerror2context']","['function.instance', 'context.getelements', 'function.cast', 'context.getfactory', 'thread.<init>', 'thread.start']",MulaRec,"['function.instance', 'context.getelements', 'function.cast', 'context.getfactory', 'thread.<init>', 'thread.start']",0.0,0.0,0.0,0.0,0.07142857142857142,0.3333333333333333
"['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'math.min', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring']","['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substringstring']","['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'math.min', 'string.substring', 'string.length', 'math.min', 'string.equals', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length']",MulaRec,"['linkedlist<patch>.size', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'math.min', 'string.substring', 'string.length', 'math.min', 'string.equals', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length', 'string.substring', 'string.length']",0.8555377116829175,0.0,0.9898175358267484,0.9444444444444444,0.9354838709677419,0.9523809523809523
"['jpanel.<init>', 'boxlayout.<init>', 'jpanel.setlayout', 'jpanel.add']","['jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>', 'jcombobox.setselectedindex', 'jcombobox.addactionlistener', 'jcombobox.<init>jcombobox']",['string.equals'],MulaRec,['string.equals'],0.5415188333064481,0.0,0.9915343915343915,0.75,0.3076923076923077,1.0
['state.equals'],"['character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.instance', 'character.cast', 'character.getpasscombination', 'character.']",['thread.interrupt'],MulaRec,['thread.interrupt'],0.0,0.0,1.0,0.0,0.32,0.0
['math.min'],"['biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>', 'biginteger.tostring', 'biginteger.<init>biginteger']",['integer.valueof'],MulaRec,['integer.valueof'],0.8151515151515152,0.0,0.961038961038961,1.0,0.0,1.0
['jlabel.settext'],"['jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setforeground', 'jlabel.settext', 'jlabel.setfore']",['set.size'],MulaRec,['set.size'],0.776824034334764,0.0,0.8888888888888888,1.0,0.5,0.0
['arrays.aslist'],"['arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists', 'arrays.aslist', 'file.<init>', 'file.exists']","['arrays.aslist', 'file.<init>']",MulaRec,"['arrays.aslist', 'file.<init>']",0.719626168224299,0.6626666073424173,0.9868081488215655,1.0,1.0,1.0
['dimension.<init>'],"['font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<init>', 'font.<init>', 'color.<']","['dimension.<init>', 'filler.<init>']",CodeBERT,['dimension.<init>'],0.5932203389830508,0.0,0.9785842419761662,1.0,0.95,0.5
['vector<integer>.elementat'],"['vector<integer>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementatvector<integer', '>.sizevector<integer', '>.elementat']",['vector<integer>.get'],MulaRec,['vector<integer>.get'],1.0,0.0,0.0,0.0,0.0,0.0
"['condition.await', 'lock.unlock']","['condition.await', 'reentrantlock.unlock']","['condition.signalall', 'lock.unlock']",CodeBERT,"['condition.await', 'lock.unlock']",1.0,1.0,0.8944271909999159,0.0,0.0,0.0
