original_index,final_status,codebert_status,codet5_status,mularec_status,correct_api,final_api,codebert_api,codet5_api,mularec_api
88,2,0,0,0,abstractqueuedsynchronizer.compareandsetwaitstatus,none.none,thread.currentthread,abstractqueuedsynchronizer.compareandsetstatus,abstractqueuedsynchronizer.acquirequeued
89,0,0,0,0,jbutton.<init>,imageicon.<init>,jlabel.settext,imageicon.<init>,jtextfield.<init>
90,1,1,1,1,math.sqrt,math.sqrt,math.sqrt,math.sqrt,math.sqrt
91,1,1,0,1,bufferedwriter.flush,bufferedwriter.flush,bufferedwriter.flush,bufferedwriter.write,bufferedwriter.flush
92,1,1,1,1,jlabel.settext,jlabel.settext,jlabel.settext,jlabel.settext,jlabel.settext
93,1,1,1,1,fileinputstream.read,fileinputstream.read,fileinputstream.read,fileinputstream.read,fileinputstream.read
96,2,0,0,1,node.getnext,none.none,linkedlist.removelast,node<integer>.getnext,node.getnext
97,0,0,0,0,thread.<init>,stringbuilder.<init>,string.format,stringbuilder.<init>,arrays.aslist
99,1,1,1,1,graphics2d.dispose,graphics2d.dispose,graphics2d.dispose,graphics2d.dispose,graphics2d.dispose
100,0,0,0,0,operation.printmainmenu,scanner.nextint,scanner.next,scanner.nextint,scanner.nextint
101,2,0,0,0,locale.getcountry,none.none,location.equals,file.<init>,locale.tostring
102,1,0,1,1,random.<init>,random.<init>,filter.usefilter,random.<init>,random.<init>
103,2,0,0,0,properties.getproperty,none.none,properties.propertynames,file.<init>,properties.entryset
104,2,0,0,0,jlabel.getbounds,none.none,"swingworker<void,string>.execute","swingworker<void,string>.execute","swingworker<void,string>.execute"
110,2,1,1,1,util.isstackavailable,none.none,util.isstackavailable,util.isstackavailable,util.isstackavailable
111,2,1,1,1,map<key>.cast,none.none,map<key>.cast,map<key>.cast,map<key>.cast
115,1,1,1,1,list.get,list.get,list.get,list.get,list.get
116,1,1,1,1,string.charat,string.charat,string.charat,string.charat,string.charat
117,1,1,1,1,stringbuffer.tostring,stringbuffer.tostring,stringbuffer.tostring,stringbuffer.tostring,stringbuffer.tostring
120,0,0,0,0,string.contains,string.trim,string.trim,pattern.compile,string.trim
122,0,0,0,0,double.cast,double.instance,string[].instance,arraylist<string>.<init>,double.instance
124,0,0,0,0,arraylist<string>.<init>,file.<init>,timer.<init>,file.<init>,arraylist.<init>
125,2,0,0,0,string.equals,none.none,expression.iterate,expression.validate,expression.getcardinality
128,2,0,0,0,mousegrabber.grabsmouse,none.none,robot.mouserelease,robot.mousepress,mouseevent.getsource
129,1,1,1,1,httpurlconnection.getinputstream,httpurlconnection.getinputstream,httpurlconnection.getinputstream,httpurlconnection.getinputstream,httpurlconnection.getinputstream
131,1,1,1,1,vector3d.<init>,vector3d.<init>,vector3d.<init>,vector3d.<init>,vector3d.<init>
134,2,0,0,0,map<integer>.values,none.none,arraylist<boolean>.get,arraylist.get,list<boolean>.get
135,2,1,1,1,evaluation.truepositiverate,none.none,evaluation.truepositiverate,evaluation.truepositiverate,evaluation.truepositiverate
136,0,0,0,0,math.round,hashmap<integer>.<init>,math.min,hashmap<integer>.<init>,integer.tostring
138,2,0,0,0,thread.<init>,none.none,string.equals,server.get_tm,server.set_name
140,2,1,1,1,xmlerrorhandler.cast,none.none,xmlerrorhandler.cast,xmlerrorhandler.cast,xmlerrorhandler.cast
141,1,1,1,1,integer.<init>,integer.<init>,integer.<init>,integer.<init>,integer.<init>
143,1,1,1,1,stringtokenizer.<init>,stringtokenizer.<init>,stringtokenizer.<init>,stringtokenizer.<init>,stringtokenizer.<init>
145,1,1,1,1,label.resolve,label.resolve,label.resolve,label.resolve,label.resolve
147,2,0,0,0,monitor.unlock,none.none,system.currenttimemillis,monitor.lock,system.currenttimemillis
148,1,1,1,1,forkjointask.cast,forkjointask.cast,forkjointask.cast,forkjointask.cast,forkjointask.cast
151,0,0,0,0,dataflavor.<init>,list.instance,hashmap.<init>,list.instance,objectoutputstream.<init>
166,1,1,1,1,reader.read,reader.read,reader.read,reader.read,reader.read
167,1,0,1,1,printwriter.flush,printwriter.flush,printwriter.close,printwriter.flush,printwriter.flush
168,0,0,0,1,system.arraycopy,string.<init>,string.<init>,string.<init>,system.arraycopy
169,2,0,0,0,arrays.binarysearch,none.none,derivativestructure.compose,derivativestructure.getorder,derivativestructure.compose
171,0,0,0,0,jcheckbox.isselected,jtextfield.gettext,joptionpane.showmessagedialog,jtextfield.gettext,jdialog.setvisible
174,1,1,1,1,element.notifyobservers,element.notifyobservers,element.notifyobservers,element.notifyobservers,element.notifyobservers
176,2,1,1,1,trie.tostring,none.none,trie.tostring,trie.tostring,trie.tostring
177,0,0,0,0,bufferedimage.creategraphics,bufferedimage.getwidth,bufferedimage.getwidth,bufferedimage.getheight,bufferedimage.getwidth
178,0,0,0,0,jfilechooser.addchoosablefilefilter,jfilechooser.setfileselectionmode,jfilechooser.showopendialog,jfilechooser.setfileselectionmode,jfilechooser.setfileselectionmode
181,2,0,1,1,jtextfield.setfocusable,none.none,jcombobox.additem,jtextfield.setfocusable,jtextfield.setfocusable
182,2,1,1,1,event.cast,none.none,event.cast,event.cast,event.cast
183,1,1,1,1,fileinputstream.<init>,fileinputstream.<init>,fileinputstream.<init>,fileinputstream.<init>,fileinputstream.<init>
186,1,0,1,1,font.<init>,font.<init>,jlabel.setbounds,font.<init>,font.<init>
187,0,0,0,0,fileinputstream.<init>,filereader.<init>,filereader.<init>,filereader.<init>,file.<init>
188,1,1,1,1,printwriter.println,printwriter.println,printwriter.println,printwriter.println,printwriter.println
189,1,1,1,1,xmlstreamwriter.writeattribute,xmlstreamwriter.writeattribute,xmlstreamwriter.writeattribute,xmlstreamwriter.writeattribute,xmlstreamwriter.writeattribute
195,0,0,0,0,jtextfield.<init>,jlabel.settext,font.<init>,jlabel.settext,jlabel.settext
197,0,0,0,0,system.exit,runnable.<init>,runnable.<init>,uimanager.getsystemlookandfeelclassname,naming.lookup
200,0,0,0,0,bufferedwriter.close,thread.join,thread.join,system.exit,thread.join
201,2,0,0,0,hashset.<init>,none.none,arrays.sort,map<string>.entryset,list<boolean>.clear
202,1,1,1,1,integer.parseint,integer.parseint,integer.parseint,integer.parseint,integer.parseint
203,2,1,0,0,position.cast,none.none,position.cast,pair<position>.first,position.getx
205,2,0,0,0,string.format,none.none,arraylist.size,treeset<file>.<init>,linkedlist<file>.<init>
209,1,1,1,1,base64.encode3to4,base64.encode3to4,base64.encode3to4,base64.encode3to4,base64.encode3to4
211,0,0,0,0,list.isempty,string.split,string.split,string.split,string.split
214,1,1,1,1,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append
215,1,1,1,1,string.instance,string.instance,string.instance,string.instance,string.instance
217,1,1,1,1,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append
218,0,1,0,0,classloader.loadclass,classloader.getresourceasstream,classloader.loadclass,classloader.getresourceasstream,classloader.getresource
219,0,0,0,0,hashmap<integer>.<init>,enumeration.hasmoreelements,enumeration.hasmoreelements,string.startswith,system.arraycopy
220,1,1,1,1,string.charat,string.charat,string.charat,string.charat,string.charat
222,0,0,1,0,math.min,math.max,math.max,math.min,math.max
223,1,1,1,1,node.getchildnodes,node.getchildnodes,node.getchildnodes,node.getchildnodes,node.getchildnodes
225,1,0,1,1,filereader.<init>,filereader.<init>,windowadapter.<init>,filereader.<init>,filereader.<init>
228,0,0,0,1,name.instance,boolean.instance,object.getclass,boolean.instance,name.instance
231,2,0,1,1,entry.getid,none.none,entry.equals,entry.getid,entry.getid
232,1,1,1,1,component.cast,component.cast,component.cast,component.cast,component.cast
240,2,0,0,0,icc_profile.getcolorspacetype,none.none,math.min,icc_profile.gettransfertype,icc_colorspace.getinstance
242,2,1,1,1,multistepintegrator.setsafety,none.none,multistepintegrator.setsafety,multistepintegrator.setsafety,multistepintegrator.setsafety
243,2,0,0,0,fastfouriertransformer.<init>,none.none,fastsinetransformer.transform,integer.numberofleadingzeros,fastsinetransformer.transform
244,1,1,1,1,composite.cast,composite.cast,composite.cast,composite.cast,composite.cast
246,1,1,1,1,arraylist<string>.get,arraylist<string>.get,arraylist<string>.get,arraylist<string>.get,arraylist<string>.get
248,1,1,1,1,vector.add,vector.add,vector.add,vector.add,vector.add
249,2,0,1,0,generalpath.getpathiterator,none.none,affinetransform.transform,generalpath.getpathiterator,affinetransform.<init>
251,1,1,1,1,class.forname,class.forname,class.forname,class.forname,class.forname
252,1,0,1,1,gridbagconstraints.<init>,gridbagconstraints.<init>,jpanel.setlayout,gridbagconstraints.<init>,gridbagconstraints.<init>
253,2,0,0,0,"hashmap<integer,list>.<init>",none.none,system.exit,map.getships,map.getlayers
255,0,0,0,0,integer.tohexstring,string.valueof,string.valueof,string.indexof,string.valueof
258,1,1,1,1,stringtokenizer.<init>,stringtokenizer.<init>,stringtokenizer.<init>,stringtokenizer.<init>,stringtokenizer.<init>
260,1,1,1,1,messages.getstring,messages.getstring,messages.getstring,messages.getstring,messages.getstring
262,1,1,1,1,xmlstreamwriter.writenamespace,xmlstreamwriter.writenamespace,xmlstreamwriter.writenamespace,xmlstreamwriter.writenamespace,xmlstreamwriter.writenamespace
264,1,0,1,1,string.charat,string.charat,string.indexof,string.charat,string.charat
265,0,0,0,1,image.getwidth,image.dispose,image.dispose,image.getheight,image.getwidth
266,1,1,1,1,string.charat,string.charat,string.charat,string.charat,string.charat
267,2,0,0,1,linkedlist<list<selector>>.<init>,none.none,arraylist<selector>.<init>,linkedlist<string>.<init>,linkedlist<list<selector>>.<init>
268,1,0,1,1,dfp.multiply,dfp.multiply,dfp.newinstance,dfp.multiply,dfp.multiply
269,1,1,1,1,comparable.cast,comparable.cast,comparable.cast,comparable.cast,comparable.cast
270,0,0,1,0,jlabel.settext,jtextfield.<init>,color.<init>,jlabel.settext,jtextfield.<init>
274,2,0,0,1,realmatrix.setrowvector,none.none,realmatrix.setcolumnvector,realmatrix.setcolumnvector,realmatrix.setrowvector
275,2,1,0,1,attribute>>.<init>,none.none,attribute>>.<init>,"attribute>,attributeimpl>.<init>",attribute>>.<init>
279,1,1,1,1,number.tostring,number.tostring,number.tostring,number.tostring,number.tostring
280,2,0,0,0,iterator.hasnext,none.none,class.equals,jnulltype.instance,class.instance
281,2,1,1,1,medialist.<init>,none.none,medialist.<init>,medialist.<init>,medialist.<init>
284,1,1,1,1,integer.cast,integer.cast,integer.cast,integer.cast,integer.cast
285,2,1,1,1,box.createrigidarea,none.none,box.createrigidarea,box.createrigidarea,box.createrigidarea
287,1,1,1,1,file.isdirectory,file.isdirectory,file.isdirectory,file.isdirectory,file.isdirectory
289,0,0,0,0,string.trim,string.substring,string.length,string.substring,math.round
290,2,0,0,0,collections.filtertolist,none.none,collections.filter,arrays.aslist,collections.filter
291,1,1,1,1,integer.instance,integer.instance,integer.instance,integer.instance,integer.instance
292,1,1,1,1,vector.elements,vector.elements,vector.elements,vector.elements,vector.elements
293,2,1,1,1,treeinfo.skipparens,none.none,treeinfo.skipparens,treeinfo.skipparens,treeinfo.skipparens
294,1,1,1,1,forkjointask.cast,forkjointask.cast,forkjointask.cast,forkjointask.cast,forkjointask.cast
296,2,0,1,1,class.getdeclaredfields,none.none,list<field>.addall,class.getdeclaredfields,class.getdeclaredfields
300,0,0,0,0,string.replaceall,string.substring,string.substring,string.substring,string.substring
301,1,1,1,1,stack.pop,stack.pop,stack.pop,stack.pop,stack.pop
305,0,0,0,0,vertex.getdistance,list<point>.add,list<point>.add,arraylist<segment>.add,list<segment>.clear
309,0,0,0,0,jtable.getselectedrow,defaultmutabletreenode.cast,jtable.getmodel,defaultmutabletreenode.cast,defaulttablemodel.cast
311,2,0,1,1,string.format,none.none,jaxbcontext.newinstance,string.format,string.format
312,0,0,0,0,math.abs,math.sqrt,math.pow,math.max,math.sqrt
313,1,1,1,1,color.getblue,color.getblue,color.getblue,color.getblue,color.getblue
314,0,0,0,0,objectkey.equals,string.equals,string.equals,object.getclass,string.equals
315,2,0,0,0,pair.<init>,none.none,set<pair>.contains,"map<pair,integer>.containskey",set<pair>.remove
316,0,0,0,0,arraylist.<init>,event.<init>,event.<init>,date.<init>,arraylist<long>.<init>
317,0,0,0,0,string.<init>,string.equals,string.format,arraylist<namevaluepair>.<init>,string.equals
322,2,1,0,0,canvas.repaint,none.none,canvas.repaint,canvas.changemodel,canvas.getinstance
323,0,0,0,0,gridlayout.<init>,gridbaglayout.<init>,gridbaglayout.<init>,gridbaglayout.<init>,gridbaglayout.<init>
324,1,1,1,1,arraylist.get,arraylist.get,arraylist.get,arraylist.get,arraylist.get
326,1,1,1,1,string.length,string.length,string.length,string.length,string.length
327,0,0,0,0,windowlistener.<init>,actionlistener.<init>,jlabel.<init>,jbutton.<init>,actionlistener.<init>
328,2,1,1,1,xmlstringbuffer.<init>,none.none,xmlstringbuffer.<init>,xmlstringbuffer.<init>,xmlstringbuffer.<init>
331,2,1,0,0,list<member>.size,none.none,list<member>.size,defaultlistmodel<member>.addelement,list<member>.isempty
334,1,1,1,1,fileinputstream.read,fileinputstream.read,fileinputstream.read,fileinputstream.read,fileinputstream.read
335,2,1,1,1,view.getparameter,none.none,view.getparameter,view.getparameter,view.getparameter
336,2,1,1,1,arrayrealvector.walkindefaultorder,none.none,arrayrealvector.walkindefaultorder,arrayrealvector.walkindefaultorder,arrayrealvector.walkindefaultorder
342,0,0,0,0,string.length,string.trim,arraylist.<init>,arraylist<string>.<init>,string.trim
343,2,0,0,0,inputstream.read,none.none,bufferedreader.readline,utils.readmessage,utils.joinoptions
344,0,0,0,0,bitset.get,node.cast,node.cast,vector.<init>,list.add
345,1,1,1,1,uri.setscheme,uri.setscheme,uri.setscheme,uri.setscheme,uri.setscheme
346,2,0,0,0,arrays.fill,none.none,kmeansplusplusclusterer.<init>,arraylist<cluster>.<init>,"hashmap<string,integer>.<init>"
347,1,1,1,1,iterator.hasnext,iterator.hasnext,iterator.hasnext,iterator.hasnext,iterator.hasnext
349,1,1,1,1,enumset.contains,enumset.contains,enumset.contains,enumset.contains,enumset.contains
350,2,0,0,1,files.exists,none.none,files.copy,system.setproperty,files.exists
352,1,1,1,1,bufferedimage.creategraphics,bufferedimage.creategraphics,bufferedimage.creategraphics,bufferedimage.creategraphics,bufferedimage.creategraphics
354,2,0,0,0,databufferbyte.cast,none.none,raster.createraster,raster.<init>,databuffer.getdatatype
357,1,1,1,1,bufferedreader.readline,bufferedreader.readline,bufferedreader.readline,bufferedreader.readline,bufferedreader.readline
358,1,1,1,1,string.cast,string.cast,string.cast,string.cast,string.cast
360,1,1,1,1,stringbuilder.tostring,stringbuilder.tostring,stringbuilder.tostring,stringbuilder.tostring,stringbuilder.tostring
361,1,1,0,1,stringbuilder.<init>,stringbuilder.<init>,stringbuilder.<init>,scanner.<init>,stringbuilder.<init>
362,0,0,0,0,math.abs,system.arraycopy,system.arraycopy,arraylist<point>.<init>,stack.<init>
368,2,1,1,1,encoder.isonlydoublebytekanji,none.none,encoder.isonlydoublebytekanji,encoder.isonlydoublebytekanji,encoder.isonlydoublebytekanji
370,1,1,1,1,field.getfreeadjacentlocations,field.getfreeadjacentlocations,field.getfreeadjacentlocations,field.getfreeadjacentlocations,field.getfreeadjacentlocations
374,0,0,0,1,string.cast,string.instance,string.instance,string.instance,string.cast
375,1,1,1,1,multivariatesummarystatistics.setimpl,multivariatesummarystatistics.setimpl,multivariatesummarystatistics.setimpl,multivariatesummarystatistics.setimpl,multivariatesummarystatistics.setimpl
377,2,1,1,1,row.updategrbit,none.none,row.updategrbit,row.updategrbit,row.updategrbit
378,1,1,1,1,symbol.cast,symbol.cast,symbol.cast,symbol.cast,symbol.cast
380,0,0,0,0,"hashmap<object,>.<init>",class.getname,class.getname,hashmap<string>.<init>,class.getname
381,2,0,0,0,random.nextdouble,none.none,level.addrandom,level.add,level.random
383,1,1,1,1,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append
384,1,1,1,1,arraylist.remove,arraylist.remove,arraylist.remove,arraylist.remove,arraylist.remove
386,1,0,1,1,preparedstatement.setstring,preparedstatement.setstring,preparedstatement.setdate,preparedstatement.setstring,preparedstatement.setstring
388,2,1,0,1,jlabel.seticon,none.none,jlabel.seticon,jlabel.<init>,jlabel.seticon
389,0,0,0,1,string.length,string.substring,string.substring,string.substring,string.length
393,2,0,0,1,jcombobox<string>.setenabled,none.none,jtextfield.gettext,jtextfield.gettext,jcombobox<string>.setenabled
397,0,0,0,0,jcombobox.<init>,color.<init>,color.<init>,jtextfield.<init>,color.<init>
398,1,1,1,1,class.isinstance,class.isinstance,class.isinstance,class.isinstance,class.isinstance
400,1,0,1,1,arraylist.set,arraylist.set,arraylist.get,arraylist.set,arraylist.set
402,2,1,1,1,linkedlist<string>.addfirst,none.none,linkedlist<string>.addfirst,linkedlist<string>.addfirst,linkedlist<string>.addfirst
408,1,1,1,1,bufferedinputstream.<init>,bufferedinputstream.<init>,bufferedinputstream.<init>,bufferedinputstream.<init>,bufferedinputstream.<init>
409,0,0,0,0,random.nextfloat,affinetransform.<init>,affinetransform.<init>,string.equals,point.<init>
410,1,0,1,1,arraylist.<init>,arraylist.<init>,list.add,arraylist.<init>,arraylist.<init>
411,1,1,0,1,list.size,list.size,list.size,list<image>.size,list.size
412,2,1,1,1,namecallback.setprompt,none.none,namecallback.setprompt,namecallback.setprompt,namecallback.setprompt
416,2,1,1,1,tablemodellistener.cast,none.none,tablemodellistener.cast,tablemodellistener.cast,tablemodellistener.cast
417,0,0,0,0,random.nextgaussian,math.sqrt,math.random,math.sqrt,random.nextdouble
419,0,0,0,0,serversocket.setsotimeout,serversocket.accept,system.exit,serversocket.accept,serversocket.accept
421,1,0,1,1,calendar.gettime,calendar.gettime,calendar.get,calendar.gettime,calendar.gettime
423,1,1,1,1,robot.debug,robot.debug,robot.debug,robot.debug,robot.debug
424,1,1,1,1,binarytree.isleaf,binarytree.isleaf,binarytree.isleaf,binarytree.isleaf,binarytree.isleaf
425,2,1,1,1,long.tohexstring,none.none,long.tohexstring,long.tohexstring,long.tohexstring
429,1,0,1,0,file.exists,file.exists,file.createnewfile,file.exists,file.getabsolutepath
430,1,1,1,1,list.cast,list.cast,list.cast,list.cast,list.cast
431,1,0,0,1,random.nextint,random.nextint,string.equalsignorecase,scanner.nextint,random.nextint
432,1,1,1,1,string.substring,string.substring,string.substring,string.substring,string.substring
434,1,1,1,1,error.<init>,error.<init>,error.<init>,error.<init>,error.<init>
436,0,0,0,0,bufferedreader.readline,"hashmap<string,string>.get",thread.sleep,"hashmap<string,string>.get",system.getproperty
437,1,1,1,1,vector.size,vector.size,vector.size,vector.size,vector.size
439,0,1,0,0,result.select,result.hasvalue,result.select,result.hasvalue,result.hasvalue
440,1,1,1,1,number.intvalue,number.intvalue,number.intvalue,number.intvalue,number.intvalue
442,2,0,0,0,graph.remove,none.none,edge.cast,edge.getsource,edge.getsource
446,1,1,1,1,number.instance,number.instance,number.instance,number.instance,number.instance
448,0,0,0,0,jpanel.setmaximumsize,borderlayout.<init>,borderlayout.<init>,jpanel.setminimumsize,jlabel.<init>
450,1,1,1,1,fileinputstream.read,fileinputstream.read,fileinputstream.read,fileinputstream.read,fileinputstream.read
451,2,1,1,1,comment.setlocation,none.none,comment.setlocation,comment.setlocation,comment.setlocation
452,0,0,0,1,inputstream.read,datagrampacket.<init>,datagrampacket.<init>,datagrampacket.<init>,inputstream.read
455,1,1,1,0,gradientpaint.<init>,gradientpaint.<init>,gradientpaint.<init>,gradientpaint.<init>,font.<init>
457,2,1,1,1,document.getpageviewtext,none.none,document.getpageviewtext,document.getpageviewtext,document.getpageviewtext
458,0,0,0,0,system.currenttimemillis,bufferedimage.getcolormodel,system.arraycopy,directcolormodel.<init>,bufferedimage.getcolormodel
460,1,1,1,1,preparedstatement.setint,preparedstatement.setint,preparedstatement.setint,preparedstatement.setint,preparedstatement.setint
461,1,1,1,1,enumeration.hasmoreelements,enumeration.hasmoreelements,enumeration.hasmoreelements,enumeration.hasmoreelements,enumeration.hasmoreelements
462,0,0,0,0,list<string>.add,list<string>.contains,string.equals,list<string>.contains,list<string>.contains
463,1,1,1,1,sequence.cast,sequence.cast,sequence.cast,sequence.cast,sequence.cast
465,1,1,1,1,jframe.add,jframe.add,jframe.add,jframe.add,jframe.add
466,2,0,0,0,sequence.get,none.none,thread.start,mousemotionlistener.<init>,thread.start
467,1,1,1,1,random.nextint,random.nextint,random.nextint,random.nextint,random.nextint
468,0,0,0,0,urlencoder.encode,"hashmap<string,string>.get","hashmap<string,string>.get",arraylist<integer>.<init>,map<integer>.remove
470,1,1,1,1,jaxbelement<string>.cast,jaxbelement<string>.cast,jaxbelement<string>.cast,jaxbelement<string>.cast,jaxbelement<string>.cast
471,2,1,1,1,arraylist.hasnext,none.none,arraylist.hasnext,arraylist.hasnext,arraylist.hasnext
472,1,1,1,1,string.cast,string.cast,string.cast,string.cast,string.cast
475,1,1,0,1,runnable.<init>,runnable.<init>,runnable.<init>,uimanager.getsystemlookandfeelclassname,runnable.<init>
476,1,0,0,1,stringbuilder.<init>,stringbuilder.<init>,string.format,arraylist<string>.<init>,stringbuilder.<init>
477,2,0,1,0,xmlstreamreaderimpl.pr,none.none,xmlstreamreaderimpl.prune,xmlstreamreaderimpl.pr,xmlstreamreaderimpl.prune
479,2,0,0,0,message.acknowledge,none.none,list<message>.remove,message.getmessagetype,message.cast
480,1,1,1,1,stringtokenizer.nexttoken,stringtokenizer.nexttoken,stringtokenizer.nexttoken,stringtokenizer.nexttoken,stringtokenizer.nexttoken
481,1,0,1,1,math.min,math.min,component.getsize,math.min,math.min
483,1,1,1,1,list.add,list.add,list.add,list.add,list.add
484,0,0,1,0,scanner.<init>,system.exit,bufferedreader.<init>,scanner.<init>,system.exit
485,1,1,1,1,math.min,math.min,math.min,math.min,math.min
486,1,1,1,1,system.arraycopy,system.arraycopy,system.arraycopy,system.arraycopy,system.arraycopy
488,1,0,1,1,hashmap.<init>,hashmap.<init>,bufferedreader.readline,hashmap.<init>,hashmap.<init>
492,1,1,1,1,preparedstatement.executequery,preparedstatement.executequery,preparedstatement.executequery,preparedstatement.executequery,preparedstatement.executequery
500,2,1,1,1,server.writeclientmessage,none.none,server.writeclientmessage,server.writeclientmessage,server.writeclientmessage
502,0,0,0,0,string.equals,uimanager.getinstalledlookandfeels,string.startswith,string.equalsignorecase,uimanager.getinstalledlookandfeels
504,0,0,0,0,vector.isempty,arraylist.remove,arraylist.remove,arraylist.size,arraylist.remove
506,0,0,0,1,arraylist<string>.<init>,stringbuilder.<init>,file.getabsolutepath,stringbuilder.<init>,arraylist<string>.<init>
507,2,0,0,0,string.replace,none.none,class.forname,"map<string,class>.entryset",class.forname
510,1,1,1,1,socket.getinputstream,socket.getinputstream,socket.getinputstream,socket.getinputstream,socket.getinputstream
513,0,0,0,0,double.isnan,stringbuffer.tostring,stringbuffer.tostring,long.tostring,decimalformat.format
514,2,0,0,0,arraylist<rectangle>.<init>,none.none,list<rectangle>.size,list<rectangle>.remove,list<rectangle>.add
517,1,1,1,1,arraydeque.removefirst,arraydeque.removefirst,arraydeque.removefirst,arraydeque.removefirst,arraydeque.removefirst
518,1,1,1,1,iterator.hasnext,iterator.hasnext,iterator.hasnext,iterator.hasnext,iterator.hasnext
521,1,1,1,1,scanner.yylex,scanner.yylex,scanner.yylex,scanner.yylex,scanner.yylex
532,1,1,1,1,element.baseuri,element.baseuri,element.baseuri,element.baseuri,element.baseuri
533,1,1,1,1,hashtable<double>.<init>,hashtable<double>.<init>,hashtable<double>.<init>,hashtable<double>.<init>,hashtable<double>.<init>
536,1,0,1,1,objectoutputstream.flush,objectoutputstream.flush,objectoutputstream.close,objectoutputstream.flush,objectoutputstream.flush
